,clust,Expenses,GradRate,SAT,Top10,Accept
0,0,0.25514388292540685,0.9,0.676923076923077,0.78,0.5416666666666666
1,1,1.0,0.4666666666666667,1.0,1.0,0.0
2,0,0.2974613183648922,0.16666666666666666,0.5230769230769231,0.24,0.20833333333333334
3,0,0.41562938528548776,0.7,0.676923076923077,0.52,0.4583333333333333
4,0,0.23983524994988245,0.7666666666666667,0.5846153846153846,0.66,0.5416666666666666
5,1,0.4275118004045853,0.9333333333333333,0.7692307692307693,0.78,0.2916666666666667
6,1,0.4169962275154453,0.9333333333333333,0.6923076923076923,0.8,0.4583333333333333
7,0,0.2081609593409998,0.8333333333333334,0.5076923076923077,0.48,0.4583333333333333
8,1,0.5616992582602832,1.0,0.9538461538461539,0.82,0.375
9,1,0.9109912339851652,0.6666666666666666,0.6615384615384615,0.5,0.041666666666666664
10,1,0.4768639171875854,0.8,0.8923076923076924,0.88,0.2916666666666667
11,0,0.3526088462029123,0.7333333333333333,0.5230769230769231,0.7,0.375
12,0,0.11696524575823294,0.9,0.5076923076923077,0.62,0.5416666666666666
13,2,0.026990577900894826,0.43333333333333335,0.0,0.0,0.9583333333333334
14,1,0.39211969893021814,0.9333333333333333,0.8769230769230769,0.82,0.125
15,2,0.006597291829928378,0.06666666666666667,0.0,0.0,1.0
16,1,0.5056587268320242,0.8666666666666667,0.8307692307692308,0.8,0.4583333333333333
17,2,0.0,0.0,0.0,0.0,1.0
18,0,0.11729328789342275,0.36666666666666664,0.46153846153846156,0.9,0.875
19,0,0.5408321335495981,0.6666666666666666,0.6153846153846154,0.5,0.5416666666666666
20,0,0.12330739370523591,0.6,0.27692307692307694,0.3,0.7916666666666666
21,0,0.34351478923292816,0.7666666666666667,0.6,0.6,0.375
22,0,0.08465309544203678,0.8333333333333334,0.4153846153846154,0.54,0.625
23,2,0.05746204734741485,0.13333333333333333,0.0,0.0,0.7083333333333334
24,1,0.6343970403309581,0.9666666666666667,0.8769230769230769,0.9,0.375
